pair	target	target_score	baseline1	baseline1_score	baseline2	baseline2_score	baseline3	baseline3_score	baseline4	baseline4_score	baseline4_b1	baseline4_b1_score	baseline5	baseline5_score	baseline5_b1	baseline5_b1_score
ent1: Kuala Klawang ent2: Jelebu District	kuala klawang is a mukim and the largest town of jelebu district , negeri sembilan , malaysia .	0	kuala klawang is a town in jelebu district, malaysia.	0	kuala klawang is a town in jelebu district, negeri sembilan, malaysia.	0	kuala klawang is a town in jelebu district, negeri sembilan, malaysia.	0	kuala klawang is a town in jelebu district, negeri sembilan.	0	kuala klawang is a town in jelebu district, negeri sembilan, selangor.	0	kuala klawang is a town and a municipality in jelebu district, negeri sembilan, malaysia.	0	kuala klawang is a town in jelebu district, negeri sembilan, selangor, selangor, selangor, selangor, selangor	0
ent1: Illinois ent2: Toledo, Illinois	toledo is a village in cumberland county , illinois , united state .	0	toledo is a village in kankakee county, illinois, united state.	0	toledo is a village in cumberland county, illinois, united state.	0	toledo is a village in cumberland county, illinois, united state.	0	toledo is a city in cumberland county, illinois, united state.	0	toledo is a village in cumberland county, illinois, united state.	0	toledo is a city in cumberland county, illinois, united state.	0	toledo is a village in cumberland county, illinois, united state.	0
ent1: Palm Beach County, Florida ent2: Cloud Lake, Florida	cloud lake is a town in palm beach county , florida , united state .	0	cloud lake is a city in palm beach county, florida, united state.	0	cloud lake is a city in palm beach county, florida, united state.	0	cloud lake is a city in palm beach county, florida, united state.	0	cloud lake is a city in palm beach county, florida, united state.	0	cloud lake is a city in palm beach county, florida, united state.	0	cloud lake is a city in palm beach county, florida, united state.	0	cloud lake is a city in palm beach county, florida, united state.	0
ent1: Public sector ent2: Machinery of government	the public sector is also collectively known as the machinery of government .	0	the public sector is the central body of government and the machinery of government.	0	the public sector is the most important of the machinery of government.	0	the public sector is the largest employer in the machinery of government.	0	the public sector is a type of machinery of government.	0	the public sector is the most important component of the machinery of government.	0	the machinery of government is the machinery of government of the public sector.	0	the machinery of government is the machinery of government of the public sector.	0
ent1: Spain ent2: University of Murcia	the university of murcia ( ) is the main university in murcia , spain .	0	the university of murcia ( ) is a public research university in murcia, spain.	0	the university of murcia ( ) is a public university in murcia, spain.	0	the university of murcia is a public university in the city of murcia, in castile and leon, spain.	0	the university of murcia is a public university in the city of murcia, castile, spain.	0	the university of murcia ( ) is a public university in murcia, spain.	0	the university of murcia ( ) is a public university in murcia, castile, spain.	0	the university of murcia is a public university in valladolid, castile, spain.	0
ent1: Guam ent2: Territorial Party	the territorial party was a political party in guam .	0	the territorial party ( ) is a political party in guam.	0	the territorial party ( ) is a political party in guam.	0	the territorial party was a political party in guam.	0	the territorial party was a political party in guam.	0	the territorial party was a political party in guam.	0	the territorial party was a political party in guam.	0	the territorial party was a political party in guam.	0
ent1: Mendocino County, California ent2: Lake Mendocino	lake mendocino is a large reservoir in mendocino county , california , northeast of ukiah .	0	lake mendocino is a lake in mendocino county, california.	0	lake mendocino is a reservoir in mendocino county, california.	0	lake mendocino is a lake in mendocino county, california.	0	lake mendocino is a reservoir in mendocino county, california.	0	lake mendocino is a lake in mendocino county, california.	0	lake mendocino is a lake in mendocino county, california.	0	lake mendocino is a lake in mendocino county, california.	0
ent1: Southern Poverty Law Center ent2: Family Research Institute	southern poverty law center has classed the family research institute as a hate group .	0	the southern poverty law center is a research center for family research institute in philadelphia.	0	the southern poverty law center is a member of the family research institute.	0	the southern poverty law center ( splc ) is the parent organization of the family research institute.	0	the family research institute is a non-profit organization affiliated with the southern poverty law center.	0	the family research institute ( fri ) is a non-profit organization of the southern poverty law center.	0	the family research institute is a research organization of the southern poverty law center.	0	the southern poverty law center ( splc ) is the parent organization of the family research institute.	0
ent1: Lewis and Clark Expedition ent2: George Shannon (explorer)	his oldest brother , george shannon , was the youngest member of the lewis and clark expedition .	0	george shannon was a british explorer and explorer on the lewis and clark expedition.	0	george shannon was a british explorer and explorer on the lewis and clark expedition.	0	george shannon was a british explorer and explorer on the lewis and clark expedition.	0	george shannon was a british explorer and explorer on the lewis and clark expedition.	0	george shannon was a member of the lewis and clark expedition.	0	in 1804, george shannon ate bitterroot in 1805 and 1806 during the lewis and clark expedition.	0	george shannon was a slave and explorer on the lewis and clark expedition.	0
ent1: Puckaster ent2: Uffa Fox	yacht designer and builder uffa fox lived in puckaster .	0	puckaster is a genus of uffa fox.	0	puckaster is home to the uffa fox football club.	0	uffa fox was a resident of puckaster.	0	uffa fox was a fox from puckaster, england.	0	uffa fox was born in puckaster.	0	uffa fox was born in puckaster.	0	uffa fox is a fox from puckaster, england.	0
ent1: Brock, Ontario ent2: Beaverton, Ontario	today , beaverton is the largest community in brock .	0	beaverton is a suburb of brock, ontario, canada.	0	brock is a suburb of beaverton, ontario, canada.	0	beaverton is located between brock and brock.	0	beaverton is a suburb of brock.	0	beaverton is located in the township of brock.	0	beaverton is located in the town of brock.	0	beaverton is located in the township of brock.	0
ent1: Converse County, Wyoming ent2: Glenrock, Wyoming	glenrock is a town in converse county , wyoming , united state .	0	glenrock is a town in converse county, wyoming, united state.	0	glenrock is a town in converse county, wyoming, united state.	0	glenrock is a town in converse county, wyoming, united state.	0	glenrock is a town in converse county, wyoming, united state.	0	glenrock is a town in converse county, wyoming, united state.	0	glenrock is a town in converse county, wyoming, united state.	0	glenrock is a town in converse county, wyoming, united state.	0
ent1: Shrub ent2: Grevilleoideae	the grevilleoideae grow as tree , shrub , or subshrub .	0	the grevilleoideae are a family of shrub.	0	grevilleoideae is a family of shrub in the family grevilleoidea.	0	grevilleoideae are a family of tree and shrub.	0	grevilleoideae is a family of tree and shrub.	0	the family proteaceae, subfamily grevilleoideae, and tribe banksieae grow as tree or shrub.	0	grevilleoideae are a family of tree and shrub.	0	grevilleoideae is a family of shrub in the family proteaceae.	0
ent1: Vodafone ent2: Celcom	celcom is the malaysian partner of the vodafone mobile community .	0	vodafone is a subsidiary of celcom.	0	vodafone is a subsidiary of celcom.	0	vodafone is a subsidiary of celcom.	0	vodafone is a subsidiary of celcom.	0	vodafone is a subsidiary of celcom.	0	vodafone is a subsidiary of celcom.	0	vodafone is a subsidiary of celcom.	0
ent1: Port Authority Bus Terminal ent2: NJ Transit	nj transit bus 321 provides service to port authority bus terminal in midtown manhattan .	0	nj transit operates bus service from the port authority bus terminal to the nj city center.	0	nj transit operates two route via the port authority bus terminal :	0	nj transit operates bus route 22, 89, 119 and 126 to port authority bus terminal.	0	nj transit operates the port authority bus terminal route.	0	nj transit operates bus route 66 from port authority bus terminal to atlantic city.	0	nj transit operates route 126 along the street and route 22 to the port authority bus terminal.	0	nj transit operates bus route 22, 89, 119, 126, and 129 along the street from port authority bus terminal to atlantic city.	0
ent1: Trent River (Ontario) ent2: Crowe River	the crowe river flows via the trent river to lake ontario .	0	the crowe river is a tributary of the trent river in southwestern ontario, canada.	0	the trent river flows via the crowe river to lake ontario.	0	the crowe river flows via the trent river to the bay of quinte.	0	the crowe river flows via the trent river to the bay of quinte.	0	the crowe river flows via the trent river to the bay of quinte.	0	the crowe river flows via the trent river to the bay of quinte.	0	the crowe river flows via the trent river to lake ontario.	0
ent1: Programming language ent2: BASIC	gw-basic is a dialect of the basic programming language developed by microsoft from ibm basica .	0	basic is a general purpose programming language.	0	basic is a programming language.	0	basic is a programming language.	0	basic is the original version of the basic programming language.	0	basic is the basic programming language.	0	basic is a programming language.	0	basic is a dialect of the basic programming language.	0
ent1: John Anderson (publisher) ent2: Chicago Tribune	john anderson subsequently worked for the `` chicago tribune '' .	0	the chicago tribune is a weekly newspaper by john anderson.	0	john anderson was the publisher of the chicago tribune.	0	john anderson was a founding member of the chicago tribune.	0	john anderson was a prominent editor of the chicago tribune.	0	john anderson wrote in  chicago tribune '' :	0	john anderson wrote in  chicago tribune '' :	0	john anderson wrote in  chicago tribune '' :	0
ent1: Mount Pleasant Township, Westmoreland County, Pennsylvania ent2: Westmoreland County, Pennsylvania	mount pleasant township is a township in westmoreland county , pennsylvania , united state .	0	mount pleasant township is a township in westmoreland county, pennsylvania, united state.	0	mount pleasant township is a township in westmoreland county, pennsylvania, united state.	0	mount pleasant township is a township in westmoreland county, pennsylvania, united state.	0	mount pleasant township is a township in westmoreland county, pennsylvania, united state.	0	mount pleasant township is a township in westmoreland county, pennsylvania, united state.	0	mount pleasant township is a township in westmoreland county, pennsylvania, united state.	0	mount pleasant township is a township in westmoreland county, pennsylvania, united state.	0
ent1: Protein ent2: Palate	fat and protein reduce the perception of tannin on the palate .	0	the protein is a symbiotic complex between the palate and the intestine.	0	the protein is found in the palate.	0	the protein is found in the tongue.	0	the protein is found in the palate.	0	this protein is the primary component of the palate.	0	the protein is found in the palate.	0	this protein is found in the palate.	0
ent1: Blood ent2: Monocyte	moreover , monocyte are the largest corpuscle in blood .	0	monocyte are a type of blood.	0	monocyte are a major component of blood.	0	monocyte are the primary circulating circulating circulating blood.	0	monocyte are a major component of blood.	0	monocyte are the primary circulating component of blood.	0	monocyte are a type of leukocyte in the blood.	0	monocyte are the primary circulating component of blood.	0
ent1: Genus ent2: Flower mantis	this genus contains several specie of flower mantis .	0	the flower mantis is a specie of genus in the family symphyceae.	0	flower mantis is a genus of mantis in the family sylvanaceae.	0	flower mantis is a genus of mantis in the family mantis.	0	the genus contains a genus of flower mantis.	0	the genus contains flower mantis.	0	flower mantis are a genus of flower mantis in the family hymenopodidae.	0	the genus includes flower mantis.	0
ent1: RNA ent2: Nucleic acid	the term `` nucleic acid '' is the overall name for dna and rna .	0	rna is a molecule with a nucleic acid structure.	0	rna is a nucleic acid.	0	nucleic acid are the basic building block of rna.	0	nucleic acid are the basic building block of dna and rna.	0	rna is a polymer of nucleic acid.	0	rna is a type of nucleic acid.	0	rna is a linear polymer of nucleic acid.	0
ent1: Kennedale Independent School District ent2: Kennedale, Texas	kennedale is served by the kennedale independent school district .	0	kennedale is served by the kennedale independent school district.	0	kennedale is served by the kennedale independent school district.	0	kennedale is served by the kennedale independent school district.	0	kennedale is served by the kennedale independent school district.	0	kennedale is served by the kennedale independent school district.	0	kennedale is served by the kennedale independent school district.	0	kennedale is served by the kennedale independent school district.	0
ent1: Northern line (Sri Lanka) ent2: Kankesanthurai railway station	kankesanthurai railway station is the terminus of the northern line on the sri lanka railways network .	0	kankesanthurai railway station is on the northern line of the sri lanka railway.	0	kankesanthurai railway station is on the northern line.	0	kankesanthurai railway station is on the northern line of the sri lanka railway system.	0	kankesanthurai railway station is on the northern line of the sri lanka railway.	0	kankesanthurai railway station is on the northern line.	0	kankesanthurai railway station is on the northern line.	0	kankesanthurai railway station is on the northern line.	0
ent1: Umatilla County, Oregon ent2: Echo, Oregon	echo is a city in umatilla county , oregon , united state .	0	echo is a city in umatilla county, oregon, united state.	0	echo is a city in umatilla county, oregon, united state.	0	echo is an unincorporated community in umatilla county, oregon, united state.	0	echo is an unincorporated community in umatilla county, oregon, united state.	0	echo is a city in umatilla county, oregon, united state.	0	echo is an unincorporated community in umatilla county, oregon, united state.	0	echo is an unincorporated community in umatilla county, oregon, united state.	0
ent1: Israel ent2: Na'amat	na'amat is the largest woman 's movement in israel .	0	na'amat is a village in the tefillimah region of israel.	0	na'amat is a village in te'avu county, israel.	0	na'amat is a jewish community in northern israel.	0	na'amat is a jewish agency in northern israel.	0	na'amat ( ) is a jewish agency in northern israel.	0	na'amat ( ) is a jewish community in northern israel.	0	na'amat ( ) is a village in northern israel.	0
ent1: Slovenia ent2: Razkrižje	razkrižje ( ; , ) is a village in slovenia .	0	razkrije is a village in slovenia.	0	razkrije is a village in slovenia.	0	razkrije ( ) is a village in slovenia.	0	razkrije is a village in slovenia.	0	razkrije is a village in slovenia.	0	razkrije is a village in slovenia.	0	razkrije is a village in slovenia.	0
ent1: Loki ent2: Thor	loki fly back to asgard and meet with thor .	0	loki is the son of thor and a king of thor.	0	loki is the son of thor and jötunheimr.	0	thor and loki go to jötunheimr.	0	thor and loki go to jötunheimr.	0	thor is the son of loki.	0	thor is the son of loki and thor.	0	thor and loki go to jötunheimr.	0
ent1: John D. MacDonald ent2: The Empty Copper Sea	the empty copper sea ( 1978 ) is the seventeenth novel in the travis mcgee series by john d. macdonald .	0	the empty copper sea is a novel by american writer john d. macdonald.	0	john d. macdonald wrote  the empty copper sea '' for the  saga ''.	0	the empty copper sea is a 1978 novel by john d. macdonald.	0	the empty copper sea is a 1978 novel by american writer john d. macdonald.	0	the empty copper sea is a 1978 novel by american writer john d. macdonald.	0	the empty copper sea is a 1978 novel by american writer john d. macdonald.	0	the empty copper sea is a 1978 novel by american writer john d. macdonald.	0
ent1: Transfer function ent2: Image impedance	they have identical transfer function but their image impedance are different .	0	the transfer function is the ratio of the image impedance to the corresponding image.	0	the transfer function is the sum of the image impedance.	0	the transfer function is the ratio of image impedance to image impedance.	0	the transfer function is the ratio of the image impedance to the frequency.	0	the transfer function is the sum of the image impedance and the frequency.	0	the transfer function is the sum of the transfer function and the image impedance.	0	the transfer function is a function of image impedance.	0
ent1: England ent2: West Berkshire	west berkshire is a unitary authority in berkshire , england .	0	west berkshire is a unitary authority in berkshire, england.	0	west berkshire is a local government district in berkshire, england.	0	west berkshire is a local government district in berkshire, england.	0	west berkshire is a unitary authority in berkshire, england.	0	west berkshire is a local government district in berkshire, england.	0	west berkshire is a borough in berkshire, england.	0	west berkshire is a local government district in berkshire, england.	0
ent1: Typography ent2: Movable type	movable type is the system of printing and typography using individual piece of type .	0	movable type is a type of typography that uses movable.	0	movable type is a type of typography that is movable.	0	movable type is a type of typography.	0	movable type is a type of typography that uses movable type.	0	movable type is a type of typeface used in the early modern period for typography.	0	movable type is a type of typography invented in china.	0	movable type is a typeface in typography.	0
ent1: Pope Benedict XVI ent2: Roman Catholic Diocese of Santa Rosa in California	on january 24 , 2011 , pope benedict xvi appointed vas as coadjutor bishop for the roman catholic diocese of santa rosa in california .	0	in july 2010 pope benedict xvi appointed a bishop to the roman catholic diocese of santa rosa in california.	0	in july 2015, pope benedict xvi appointed him to the roman catholic diocese of santa rosa in california.	0	in november 2013, pope benedict xvi established the roman catholic diocese of santa rosa in california.	0	on 22 february 2013, pope benedict xvi established the diocese of santa rosa in california from the roman catholic diocese of owando	0	on october 24, 2013, pope benedict xvi established the diocese of santa rosa from the roman catholic diocese of santa rosa	0	on october 24, 2013, pope benedict xvi established the diocese of santa rosa from the roman catholic diocese of santa rosa	0	on october 24, 2013, pope benedict xvi established the diocese of santa rosa from the roman catholic diocese of owando.	0
ent1: Azerbaijan ent2: Lachin District	lachin district is an administrative rayon in the republic of azerbaijan .	0	lachin district ( ) is one of the 66 district of azerbaijan.	0	lachin district ( ) is one of the 66 district of azerbaijan.	0	lachin district ( ) is a district in northwestern azerbaijan.	0	lachin district ( ) is one of the 66 district of azerbaijan.	0	lachin district ( ) is one of the 58 district of azerbaijan.	0	lachin district ( ) is one of the 66 district of azerbaijan.	0	lachin district ( ) is one of the 66 district of azerbaijan.	0
ent1: Automatic rifle ent2: Huot Automatic Rifle	other early automatic rifle include the fedorov avtomat and the huot automatic rifle .	0	the huot automatic rifle is a type of automatic rifle.	0	the huot automatic rifle is a series of automatic rifle manufactured by huot.	0	the huot automatic rifle was a canadian light machine gun and automatic rifle.	0	the huot automatic rifle was a canadian light machine gun and automatic rifle.	0	the huot automatic rifle is a canadian light machine gun and automatic rifle.	0	the huot automatic rifle is a canadian light machine gun and a prototype of the huot automatic rifle.	0	the huot automatic rifle is a canadian light machine gun and automatic rifle.	0
ent1: California ent2: La Habra, California	la habra height is a city in los angeles county , california , united state .	0	la habra is a census-designated place in santa clara county, california.	0	la habra is a census-designated place in san bernardino county, california.	0	la habra is a census-designated place in san bernardino county, california.	0	la habra is a city in orange county, california, united state.	0	la habra is the largest city in california.	0	la habra is the largest city in california.	0	la habra is the largest city in california.	0
ent1: Meiji Restoration ent2: Fukui Domain	fukui domain played a key role in the meiji restoration .	0	the fukui domain was a part of the meiji restoration.	0	the fukui domain was a part of the meiji restoration.	0	the fukui domain was reorganized in 1867 after the meiji restoration.	0	after the meiji restoration, the fukui domain was absorbed into fukui prefecture.	0	after the meiji restoration, the fukui domain became part of fukui prefecture.	0	in 1868, the fukui domain was dissolved in the meiji restoration.	0	the fukui domain was dissolved in 1871 after the meiji restoration.	0
ent1: Wyrley and Essington Canal ent2: Bentley Canal	the bentley canal left the wyrley and essington canal at wednesfield junction .	0	the bentley canal is a tributary of the wyrley and essington canal.	0	the bentley canal is a canal in wyrley and essington, england.	0	the bentley canal is a tributary of the wyrley and essington canal.	0	the bentley canal was part of the wyrley and essington canal navigation.	0	the bentley canal leaves the wyrley and essington canal at pelsall junction.	0	the canal leaves the wyrley and essington canal at pelsall junction.	0	the bentley canal is a canal in the wyrley and essington canal in birmingham, england.	0
ent1: Ancient Rome ent2: Tribune	tribune ( ) was the title of various elected official in ancient rome .	0	the tribune was a tribune of the emperor of rome.	0	the tribune was a tribune of the roman empire in ancient rome.	0	the tribune ( ) was a tribune in ancient rome.	0	the tribune ( ) was a tribune of ancient rome.	0	the tribune ( ) was a tribune of ancient rome.	0	the tribune ( ) was a tribune of ancient rome.	0	the tribune ( ) was a tribune of the republican claudia gen of ancient rome.	0
ent1: Czech Republic ent2: Vítkovice (Ostrava)	mfk vítkovice is a football club from vítkovice , ostrava , czech republic .	0	vtkovice is a town in the czech republic.	0	vtkovice is a village in the ostrava district of the czech republic.	0	vtkovice is a railway station in vtkovice, czech republic.	0	vtkovice is a railway station in vtkovice, czech republic.	0	vtkovice is the largest city in the czech republic.	0	vtkovice is a railway station in vtkovice, czech republic.	0	vtkovice is a railway station in vtkovice ( czech republic ).	0
ent1: Loch Lomond and The Trossachs National Park ent2: Cowal	the loch lomond and the trossachs national park extends into cowal .	0	cowal is located in the loch lomond and the trossachs national park.	0	cowal is a loch in loch lomond and the trossachs national park, scotland.	0	cowal is within the loch lomond and the trossachs national park.	0	loch lomond and the trossachs national park is a national park in argyll and cowal, scotland.	0	cowal is within the loch lomond and the trossachs national park.	0	cowal is within the loch lomond and the trossachs national park.	0	cowal is within the loch lomond and the trossachs national park.	0
ent1: Arthur Ashe ent2: Cliff Richey	arthur ashe defeated cliff richey 6–4 , 6–2 , 6–4	0	arthur ashe defeated cliff richey 6–4, 6–4	0	arthur ashe defeated cliff richey 6–3, 6–3	0	arthur ashe defeated cliff richey 6–4, 6–4	0	cliff richey defeated arthur ashe 6–4, 6–4	0	cliff richey defeated arthur ashe 6–3, 6–3	0	arthur ashe defeated cliff richey 6–3, 6–3	0	arthur ashe defeated cliff richey 6–3, 6–3	0
ent1: Loop diuretic ent2: Metolazone	metolazone is frequently prescribed in addition to the loop diuretic .	0	metolazone is a loop diuretic.	0	metolazone is a loop diuretic.	0	metolazone is a metabolite of the loop diuretic.	0	metolazone is a loop diuretic.	0	metolazone is a loop diuretic.	0	metolazone is a loop diuretic.	0	metolazone is a loop diuretic.	0
ent1: Professional wrestling ent2: European Heavyweight Championship	the european heavyweight championship is a professional wrestling championship .	0	the european heavyweight championship is a professional wrestling title in professional wrestling.	0	the european heavyweight championship is a professional wrestling championship in the european heavyweight division.	0	the european heavyweight championship is a professional wrestling championship owned by frontier wrestling alliance.	0	the european heavyweight championship is a professional wrestling championship owned by frontier wrestling alliance.	0	the european heavyweight championship is a professional wrestling championship.	0	the european heavyweight championship was contested for in the frontier wrestling alliance professional wrestling promotion.	0	the european heavyweight championship is a professional wrestling championship contested for in the european professional wrestling promotion frontier wrestling alliance.	0
ent1: Isla de la Juventud ent2: Nueva Gerona	nueva gerona is a cuban city , capital of the isla de la juventud special municipality and province .	0	the isla de la juventud is a  concelho '' of the nueva gerona.	0	nueva gerona borders the following municipality : santa fe, santa fe, and isla de la juventud.	0	nueva gerona is a municipality on the isla de la juventud in cuba.	0	nueva gerona is a town on the isla de la juventud in cuba.	0	nueva gerona is a town on the isla de la juventud of cuba.	0	nueva gerona is the second largest town on the isla de la juventud.	0	nueva gerona is a municipality on the isla de la juventud of cuba.	0
ent1: Solvent ent2: Supercritical carbon dioxide	supercritical carbon dioxide can saturate the polymer with solvent .	0	supercritical carbon dioxide is a solvent.	0	supercritical carbon dioxide is a solvent.	0	supercritical carbon dioxide is a solvent.	0	supercritical carbon dioxide is used as a solvent.	0	supercritical carbon dioxide is used as a solvent.	0	supercritical carbon dioxide is used as a solvent.	0	supercritical carbon dioxide is used as a solvent.	0
ent1: Pewitt Consolidated Independent School District ent2: Marietta, Texas	marietta is served by the pewitt consolidated independent school district .	0	marietta is served by the pewitt consolidated independent school district.	0	marietta is served by the pewitt consolidated independent school district.	0	marietta is served by the pewitt consolidated independent school district.	0	marietta is served by the pewitt consolidated independent school district.	0	marietta is served by the pewitt consolidated independent school district.	0	marietta is served by the pewitt consolidated independent school district.	0	marietta is served by the pewitt consolidated independent school district.	0
ent1: Madison County, Iowa ent2: Patterson, Iowa	patterson is a city in madison county , iowa , united state .	0	patterson is a city in madison county, iowa, united state.	0	patterson is a city in madison county, iowa, united state.	0	patterson is a city in madison county, iowa, united state.	0	patterson is a city in madison county, iowa, united state.	0	patterson is a city in madison county, iowa, united state.	0	patterson is a city in madison county, iowa, united state.	0	patterson is a city in madison county, iowa, united state.	0
ent1: Mississippi ent2: Gulf and Ship Island Railroad	the gulf and ship island railroad operated exclusively in the state of mississippi .	0	the gulf and ship island railroad was a railroad in mississippi.	0	the gulf and ship island railroad was a railroad in mississippi.	0	the gulf and ship island railroad was a railroad in mississippi.	0	the gulf and ship island railroad was a railroad in mississippi.	0	the gulf and ship island railroad was a railroad in mississippi.	0	the gulf and ship island railroad was a railroad in mississippi.	0	the gulf and ship island railroad was a railroad in mississippi.	0
ent1: Nemawar ent2: Dewas district	nemawar is a small town in dewas district , madhya pradesh , india .	0	nemawar is a town in dewas district in the indian state of kerala.	0	nemawar is a town in dewas district, madhya pradesh, india.	0	nemawar is a village in dewas district of madhya pradesh state in central india.	0	nemawar is a village in dewas district of madhya pradesh state in central india.	0	nemawar is a village in dewas district, madhya pradesh, india.	0	nemawar is a village in dewas district of madhya pradesh state in india.	0	nemawar is a village in dewas district of madhya pradesh state in india.	0
ent1: Jeddah ent2: King Abdulaziz International Airport	jeddah is served by king abdulaziz international airport .	0	king abdulaziz international airport is located in jeddah.	0	king abdulaziz international airport is located in jeddah.	0	king abdulaziz international airport is located in jeddah.	0	king abdulaziz international airport is located in jeddah.	0	king abdulaziz international airport is an airport in jeddah, saudi arabia.	0	king abdulaziz international airport is an international airport in jeddah, saudi arabia.	0	king abdulaziz international airport is an international airport in jeddah, saudi arabia.	0
